,Open,High,Low,Close,Volume
2025-02-21 11:30:00,413.5850,414.0900,413.3500,413.6900,320855
2025-02-21 11:15:00,414.4000,414.5490,413.3800,413.5400,460447
2025-02-21 11:00:00,413.8600,414.4200,413.2500,414.4000,394260
2025-02-21 10:45:00,412.4000,413.8800,412.4000,413.8800,684601
2025-02-21 10:30:00,413.2900,413.8600,412.2700,412.4000,462719
2025-02-21 10:15:00,414.6400,415.0867,412.8900,413.2900,721855
2025-02-21 10:00:00,414.8300,415.4250,413.7600,414.7050,643137
2025-02-21 09:45:00,416.0600,416.7600,414.8200,414.8200,739424
2025-02-21 09:30:00,417.3350,418.0480,415.0300,416.0500,2324958
2025-02-21 09:15:00,417.8000,418.4300,416.7800,417.3500,40179
2025-02-21 09:00:00,417.6800,417.8100,417.6700,417.7992,14388
2025-02-21 08:45:00,417.6900,417.7700,415.3300,417.7050,12368
2025-02-21 08:30:00,417.6700,417.7400,417.3500,417.6450,7256
2025-02-21 08:15:00,417.4600,417.8400,417.4150,417.6500,5180
2025-02-21 08:00:00,417.3800,417.8000,415.9600,417.4900,1210269
2025-02-21 07:45:00,417.7500,417.7600,417.6000,417.6700,1783
2025-02-21 07:30:00,417.7000,417.8000,417.5100,417.7400,5399
2025-02-21 07:15:00,417.4400,417.7300,417.3500,417.6800,8628
2025-02-21 07:00:00,417.3300,417.5000,417.2000,417.4400,6731
2025-02-21 06:45:00,417.2800,417.3600,417.1700,417.3300,1157
2025-02-21 06:30:00,417.2900,417.4300,417.1800,417.2800,4104
2025-02-21 06:15:00,417.4100,417.4500,417.2300,417.3000,2077
2025-02-21 06:00:00,417.1800,417.4600,417.1700,417.4600,1163
2025-02-21 05:45:00,417.1600,417.2300,417.0000,417.1000,1165
2025-02-21 05:30:00,417.4200,417.5800,417.0600,417.1400,3316
2025-02-21 05:15:00,417.2300,417.5000,417.2000,417.4800,3907
2025-02-21 05:00:00,417.4800,417.4800,417.2000,417.2500,2335
2025-02-21 04:45:00,417.5800,417.6800,417.3100,417.4800,2300
2025-02-21 04:30:00,417.3000,417.6700,417.2000,417.5500,3208
2025-02-21 04:15:00,417.0300,417.4400,416.9700,417.3100,3333
2025-02-21 04:00:00,416.3500,417.3700,416.1300,417.0300,7467
2025-02-20 19:45:00,416.4500,416.6600,416.3500,416.6100,2334
2025-02-20 19:30:00,416.4300,416.5000,416.1100,416.4800,2283
2025-02-20 19:15:00,416.3900,416.7998,416.1100,416.5000,11907
2025-02-20 19:00:00,416.1400,416.4000,416.0000,416.2650,4294
2025-02-20 18:45:00,416.3689,416.4000,416.1300,416.2650,3600
2025-02-20 18:30:00,416.1000,416.5400,416.0000,416.3691,3908
2025-02-20 18:15:00,416.0500,416.1300,416.0000,416.1283,18007
2025-02-20 18:00:00,415.7900,416.1000,415.7500,416.0000,5930
2025-02-20 17:45:00,415.5500,415.8000,415.5500,415.7750,4047
2025-02-20 17:30:00,420.9610,424.0230,387.0021,415.5000,3357
2025-02-20 17:15:00,415.6400,432.2978,387.0021,409.0692,6353
2025-02-20 17:00:00,415.6000,416.1300,415.4900,415.6947,724604
2025-02-20 16:45:00,415.9900,416.1300,415.6000,415.7350,32113
2025-02-20 16:30:00,415.7950,416.1300,415.6000,415.7950,42013
2025-02-20 16:15:00,415.6200,416.1300,415.3100,415.7800,60144
2025-02-20 16:00:00,416.1400,444.4819,415.2100,415.6400,6451516
2025-02-20 15:45:00,415.8850,416.3000,415.2800,416.1300,1330138
2025-02-20 15:30:00,415.7900,415.9500,415.2500,415.8855,415888
2025-02-20 15:15:00,415.6300,416.2800,414.9300,415.7900,569998
2025-02-20 15:00:00,416.7600,416.8300,415.4400,415.6450,581702
2025-02-20 14:45:00,416.8860,417.3700,416.6300,416.7300,331931
2025-02-20 14:30:00,417.5950,417.6000,416.4500,416.8900,420180
2025-02-20 14:15:00,417.1400,417.8900,417.1300,417.6300,770436
2025-02-20 14:00:00,417.2300,417.5200,416.3900,417.1500,886980
2025-02-20 13:45:00,417.6398,417.6900,416.5790,417.2900,467167
2025-02-20 13:30:00,417.5300,417.9200,417.4000,417.6300,230940
2025-02-20 13:15:00,417.9660,418.0400,417.2300,417.5496,222670
2025-02-20 13:00:00,417.4100,418.0599,417.2200,417.9297,288369
2025-02-20 12:45:00,417.5900,418.0000,417.3700,417.3700,452789
2025-02-20 12:30:00,417.6800,418.2200,417.5600,417.6400,358170
2025-02-20 12:15:00,417.4600,418.3800,417.2701,417.6700,497177
2025-02-20 12:00:00,416.6050,417.9600,416.2900,417.5450,394241
2025-02-20 11:45:00,416.4799,416.9900,416.1100,416.5900,354097
2025-02-20 11:30:00,418.0500,418.1000,415.7000,416.4160,715875
2025-02-20 11:15:00,418.8299,418.8299,417.3365,417.9201,698635
2025-02-20 11:00:00,416.2100,419.3100,416.0500,418.7500,1808390
2025-02-20 10:45:00,416.1800,416.4000,415.6400,416.2000,541080
2025-02-20 10:30:00,416.0800,416.9700,415.7841,416.2076,698514
2025-02-20 10:15:00,414.5150,416.2100,414.2900,416.1100,773417
2025-02-20 10:00:00,413.8900,414.8500,412.5400,414.5700,1096887
2025-02-20 09:45:00,416.2500,417.3099,413.5650,413.8900,1646252
2025-02-20 09:30:00,415.2900,417.0980,413.9500,416.3000,1916697
2025-02-20 09:15:00,414.3000,416.0000,414.2900,415.5400,59897
2025-02-20 09:00:00,414.4521,414.7982,414.0300,414.3550,56497
2025-02-20 08:45:00,415.2500,415.3700,414.0000,414.4700,53883
2025-02-20 08:30:00,415.5000,415.6600,415.1100,415.1600,25738
2025-02-20 08:15:00,415.3800,415.5000,415.2100,415.5000,14210
2025-02-20 08:00:00,415.5682,419.1488,414.6000,415.3800,83382
2025-02-20 07:45:00,415.6000,415.6400,414.7000,415.5700,18201
2025-02-20 07:30:00,415.4800,415.6800,415.4400,415.5700,10673
2025-02-20 07:15:00,415.2600,415.8800,415.1700,415.4800,23753
2025-02-20 07:00:00,417.1200,417.4900,414.8500,415.2600,36897
2025-02-20 06:45:00,416.6700,417.7000,416.5400,417.2600,13774
2025-02-20 06:30:00,417.0100,417.1700,416.6500,416.6600,15348
2025-02-20 06:15:00,417.0800,417.2100,416.8500,417.0000,7222
2025-02-20 06:00:00,417.2200,417.3000,416.9700,417.0800,13150
2025-02-20 05:45:00,417.9900,418.3000,417.1300,417.2200,11137
2025-02-20 05:30:00,418.2600,418.2700,417.7300,418.0000,9008
2025-02-20 05:15:00,417.9000,418.9200,417.8300,418.2600,17032
2025-02-20 05:00:00,417.6500,418.0000,417.6000,417.8800,7294
2025-02-20 04:45:00,418.1200,418.2400,417.6000,417.6200,9587
2025-02-20 04:30:00,418.6000,418.6300,418.0000,418.1200,12965
2025-02-20 04:15:00,417.4800,419.0900,417.1600,418.6000,28039
2025-02-20 04:00:00,415.9100,417.8000,415.0000,417.4700,30559
2025-02-19 19:45:00,414.1239,418.0378,414.0442,414.5831,13589
2025-02-19 19:30:00,414.0242,439.7571,388.5462,414.1040,6809
2025-02-19 19:15:00,414.0142,439.7571,395.1751,413.9943,5593
2025-02-19 19:00:00,414.1639,439.7571,391.6653,413.9843,7289
2025-02-19 18:45:00,413.6749,420.2930,409.8542,414.1140,12588
2025-02-19 18:30:00,413.9194,414.1639,413.6749,413.8111,4815
2025-02-19 18:15:00,413.9843,414.3124,413.5551,413.7348,10281
2025-02-19 18:00:00,413.8346,414.1639,413.4853,413.8645,9737
2025-02-19 17:45:00,413.6250,413.8545,413.4154,413.6749,7808
2025-02-19 17:30:00,413.9743,414.1625,413.3256,413.6549,12586
2025-02-19 17:15:00,414.0442,414.1739,413.9643,413.9743,5985
2025-02-19 17:00:00,414.1240,414.1240,413.9444,413.9643,20151
2025-02-19 16:45:00,414.1340,414.5432,413.8745,414.1238,67919
2025-02-19 16:30:00,413.7697,414.0741,413.6250,414.0442,13209
2025-02-19 16:15:00,413.9444,413.9444,413.6250,413.7747,15654
2025-02-19 16:00:00,414.2737,414.2737,406.9533,413.6250,7914521
2025-02-19 15:45:00,413.8146,414.6629,413.4254,413.9943,1512452
2025-02-19 15:30:00,413.7597,414.2637,413.5951,413.8146,654572
2025-02-19 15:15:00,414.0092,414.5731,413.4953,413.6749,687402
2025-02-19 15:00:00,413.9144,414.0941,413.2258,414.0092,654692
2025-02-19 14:45:00,413.7155,414.4234,413.3456,413.9344,669597
2025-02-19 14:30:00,413.1609,414.0937,413.0312,413.7428,576780
2025-02-19 14:15:00,411.8885,413.6050,411.8486,413.1334,770559
2025-02-19 14:00:00,411.0901,411.8835,410.9603,411.8526,378992
2025-02-19 13:45:00,410.9703,411.6988,410.9008,411.0501,428046
2025-02-19 13:30:00,410.7457,411.5192,410.7457,410.9304,578769
2025-02-19 13:15:00,409.8825,411.1699,409.8384,410.7457,445318
2025-02-19 13:00:00,410.1120,410.4214,409.5531,409.8580,317091
2025-02-19 12:45:00,409.9523,410.2916,409.7527,410.1419,264634
2025-02-19 12:30:00,409.6330,410.1320,409.4079,409.9573,307783
2025-02-19 12:15:00,410.1165,410.1165,409.1839,409.6330,369357
2025-02-19 12:00:00,409.8351,410.7407,409.8176,410.0920,2571997
2025-02-19 11:45:00,410.0022,410.2417,409.5631,409.8326,375522
2025-02-19 11:30:00,409.5731,410.3216,409.0940,410.0372,483578
2025-02-19 11:15:00,410.3914,411.0289,408.7847,409.6122,1464173
2025-02-19 11:00:00,407.5172,410.6110,407.1479,410.3706,1840408
2025-02-19 10:45:00,408.0661,408.4154,407.2377,407.5172,432768
2025-02-19 10:30:00,407.4573,408.4703,407.2477,408.0661,554561
2025-02-19 10:15:00,407.2685,407.7866,407.2078,407.3874,351011
2025-02-19 10:00:00,408.5202,408.8346,406.9583,407.3026,505956
2025-02-19 09:45:00,408.2856,409.1140,407.9363,408.5651,538529
2025-02-19 09:30:00,407.0681,408.7747,406.8385,408.3206,1278002
2025-02-19 09:15:00,407.9962,408.1858,407.3375,408.1858,17217
2025-02-19 09:00:00,408.0162,408.2657,407.6868,408.0860,8860
2025-02-19 08:45:00,408.1359,408.2058,407.9363,408.0173,4613
2025-02-19 08:30:00,408.1160,408.8246,407.7866,408.1459,7221
2025-02-19 08:15:00,408.7348,408.7348,407.7966,408.1160,8431
2025-02-19 08:00:00,408.9892,414.9923,407.6868,408.5052,16941
2025-02-19 07:45:00,408.6050,408.9044,408.5651,408.6250,3033
2025-02-19 07:30:00,408.7447,408.7847,408.4852,408.6848,1258
2025-02-19 07:15:00,408.6150,408.7946,408.5551,408.7647,2177
2025-02-19 07:00:00,408.2258,408.7348,408.2058,408.6848,4950
2025-02-19 06:45:00,408.1060,408.3056,407.7966,408.2058,1820
2025-02-19 06:30:00,408.3156,408.3854,408.1160,408.1858,2781
2025-02-19 06:15:00,408.4453,408.4453,408.2258,408.3755,796
2025-02-19 06:00:00,408.4952,408.5252,408.2757,408.3854,2313
2025-02-19 05:45:00,408.2956,408.5850,408.2956,408.4852,941
2025-02-19 05:30:00,408.7747,408.8445,408.3056,408.3655,1911
2025-02-19 05:15:00,408.9643,408.9743,408.7747,408.7747,1680
2025-02-19 05:00:00,408.8346,408.9743,408.7847,408.9643,929
2025-02-19 04:45:00,408.9344,409.1539,408.7747,408.8346,1198
2025-02-19 04:30:00,408.8346,408.9843,408.7447,408.9843,868
2025-02-19 04:15:00,408.8745,409.0342,408.7048,408.8346,4374
2025-02-19 04:00:00,409.1240,409.1839,408.6948,408.8745,3679
2025-02-18 19:45:00,408.9843,409.0741,408.8881,409.0741,5464
2025-02-18 19:30:00,408.8046,409.1739,408.7348,408.9843,9117
2025-02-18 19:15:00,408.9244,408.9843,408.7248,408.8595,7403
2025-02-18 19:00:00,408.7348,408.9244,408.5052,408.9144,3437
2025-02-18 18:45:00,408.6250,408.8346,408.4653,408.6649,3039
2025-02-18 18:30:00,408.7098,409.0342,408.5850,408.5850,3556
2025-02-18 18:15:00,408.7348,408.9344,408.4952,408.5850,6218
2025-02-18 18:00:00,408.4353,408.9843,408.3256,408.3854,6682
2025-02-18 17:45:00,408.4488,425.7243,383.9323,408.5850,740556
2025-02-18 17:30:00,408.3854,430.1243,380.3105,408.5152,5822
2025-02-18 17:15:00,408.4453,431.5205,380.3105,408.3854,10414
2025-02-18 17:00:00,408.4204,408.8246,408.2357,408.4453,9072
2025-02-18 16:45:00,408.3355,408.5850,408.2419,408.4204,5231
2025-02-18 16:30:00,408.6337,408.8246,408.1858,408.3355,62042
2025-02-18 16:15:00,408.7098,408.8246,408.6050,408.6050,18863
2025-02-18 16:00:00,408.8246,408.8845,407.3491,408.7098,11611629
2025-02-18 15:45:00,407.0082,409.1090,406.9783,408.8246,1613022
2025-02-18 15:30:00,406.7587,407.3625,406.6539,407.0179,355707
2025-02-18 15:15:00,406.6888,406.8842,406.5536,406.7737,267384
2025-02-18 15:00:00,406.3096,406.8186,406.1619,406.6888,328441
2025-02-18 14:45:00,406.3993,406.6888,406.2497,406.2796,201076
2025-02-18 14:30:00,406.6789,406.7088,406.2796,406.3495,203950
2025-02-18 14:15:00,406.0900,407.0481,406.0701,406.6389,400303
2025-02-18 14:00:00,406.8735,407.0733,405.6908,406.1100,501619
2025-02-18 13:45:00,406.9184,407.3874,406.8385,406.8585,252104
2025-02-18 13:30:00,407.2377,407.2577,406.8884,406.9168,237767
2025-02-18 13:15:00,407.5771,407.6457,406.7986,407.2537,358966
2025-02-18 13:00:00,407.7168,408.0661,407.4274,407.5771,235313
2025-02-18 12:45:00,407.5771,408.1459,407.5771,407.7517,413958
2025-02-18 12:30:00,407.5272,407.9363,407.4972,407.6070,479219
2025-02-18 12:15:00,407.8864,407.9164,407.3675,407.5222,297531
2025-02-18 12:00:00,408.0561,408.2757,407.5671,407.8665,789033
2025-02-18 11:45:00,407.5371,408.6349,407.4573,408.0854,330008
2025-02-18 11:30:00,408.1559,408.2557,407.5471,407.5571,272144
2025-02-18 11:15:00,407.5571,408.2757,407.3974,408.1559,427891
2025-02-18 11:00:00,408.2357,408.4453,407.5571,407.5970,286137
2025-02-18 10:45:00,407.9962,408.4682,407.7268,408.2791,368182
2025-02-18 10:30:00,407.2377,408.1759,406.9783,408.0062,491180
2025-02-18 10:15:00,409.2537,409.3535,407.1878,407.2380,685203
2025-02-18 10:00:00,409.0441,409.5530,407.7667,409.2437,639520
2025-02-18 09:45:00,408.2208,409.7797,407.8765,408.9992,945765
2025-02-18 09:30:00,407.1878,409.5332,406.9184,408.2158,1709699
2025-02-18 09:15:00,409.0242,409.0242,406.2397,407.2477,116760
2025-02-18 09:00:00,409.0641,409.0940,408.7847,408.8545,17705
2025-02-18 08:45:00,408.9579,409.1539,408.8246,409.0741,8737
2025-02-18 08:30:00,408.7747,453.5005,408.7048,408.9843,9007
2025-02-18 08:15:00,408.9843,409.3036,408.6848,408.7647,20337
2025-02-18 08:00:00,408.8745,409.6829,406.5980,409.0042,42336
2025-02-18 07:45:00,408.6848,408.8645,408.6649,408.7348,8723
2025-02-18 07:30:00,408.8346,408.9344,408.6848,408.7048,4055
2025-02-18 07:15:00,409.1040,409.1140,408.7847,408.7847,3015
2025-02-18 07:00:00,409.0940,409.2038,408.5950,409.0841,18628
2025-02-18 06:45:00,409.1340,409.1839,409.0242,409.1240,1849
2025-02-18 06:30:00,408.9843,409.1839,408.9344,409.1340,4122
2025-02-18 06:15:00,408.8545,408.9643,408.8346,408.9543,1299
2025-02-18 06:00:00,408.8944,409.0142,408.8146,408.8845,4377
2025-02-18 05:45:00,408.8146,409.1739,408.7847,408.8944,3399
2025-02-18 05:30:00,408.9044,408.9344,408.7847,408.8645,1070
2025-02-18 05:15:00,408.6050,408.9144,408.6050,408.9144,1506
2025-02-18 05:00:00,408.8745,408.9843,408.5252,408.6150,3870
2025-02-18 04:45:00,408.7048,408.9843,408.7048,408.8845,3323
2025-02-18 04:30:00,408.8346,408.9843,408.6848,408.7447,4621
